Company Ticker,Adjusted-date,group
ATVI US,8/5/2016,1
CTSH US,8/5/2016,1
PFG US,7/29/2016,1
SNI US,8/9/2016,1
WU US,8/4/2016,1
CVX US,7/29/2016,1
TDC US,8/2/2016,1
DUK US,8/4/2016,1
HCP US,8/9/2016,1
SWK US,7/22/2016,1
CINF US,7/27/2016,1
ALB US,8/4/2016,1
COG US,7/29/2016,1
GD US,7/27/2016,1
BAX US,7/26/2016,1
HCA US,7/28/2016,1
CHD US,8/4/2016,1
NEM US,7/21/2016,1
DOW US,7/28/2016,1
VRTX US,7/28/2016,1
GLW US,7/27/2016,1
LMT US,7/19/2016,1
WYNN US,7/29/2016,1
LLL US,7/28/2016,1
KHC US,8/5/2016,1
DNB US,8/2/2016,1
EXPD US,8/2/2016,1
AEE US,8/5/2016,1
INTC US,7/21/2016,1
UTX US,7/26/2016,1
ZTS US,8/3/2016,1
MDLZ US,7/27/2016,1
MAT US,7/21/2016,1
CNC US,7/26/2016,1
SNA US,7/21/2016,1
BIIB US,7/21/2016,1
ZION US,7/27/2016,1
RCL US,8/2/2016,1
KSU US,7/19/2016,1
EQT US,7/28/2016,1
TAP US,8/2/2016,2
VNO US,8/2/2016,2
HST US,7/29/2016,2
APH US,7/20/2016,2
AVB US,7/26/2016,2
IBM US,7/19/2016,2
LUV US,7/21/2016,2
OI US,7/28/2016,2
PBI US,8/2/2016,2
LEG US,7/29/2016,2
ITW US,7/20/2016,2
EQR US,7/27/2016,2
LNC US,8/4/2016,2
TMO US,7/28/2016,2
EMN US,7/29/2016,2
MHK US,8/5/2016,2
DVA US,8/9/2016,2
K US,8/4/2016,2
CMCSA US,7/27/2016,2
KMB US,7/25/2016,2
TXT US,7/22/2016,2
AN US,7/29/2016,2
GGP US,8/2/2016,2
PX US,7/28/2016,2
MCO US,7/22/2016,2
PNR US,7/28/2016,2
NLSN US,7/26/2016,2
ORLY US,7/28/2016,2
TROW US,7/26/2016,2
LH US,7/27/2016,2
BXP US,7/27/2016,2
T US,7/22/2016,2
VFC US,7/22/2016,2
LNT US,8/2/2016,2
FLIR US,7/27/2016,2
IPG US,7/21/2016,2
NDAQ US,7/27/2016,2
BLK US,7/14/2016,2
DAL US,7/14/2016,2
OXY US,8/3/2016,2
AAP US,8/16/2016,3
ADM US,8/2/2016,3
JBHT US,7/18/2016,3
MLM US,8/2/2016,3
WY US,8/5/2016,3
FLR US,8/5/2016,3
ED US,8/5/2016,3
OKE US,8/3/2016,3
CMG US,7/22/2016,3
PWR US,8/4/2016,3
SE US,8/3/2016,3
EIX US,7/29/2016,3
YHOO US,7/19/2016,3
LVLT US,7/27/2016,3
HIG US,7/29/2016,3
MOS US,8/2/2016,3
PGR US,7/14/2016,3
CNP US,8/5/2016,3
XOM US,7/29/2016,3
PRU US,8/4/2016,3
CHK US,8/4/2016,3
FTI US,7/21/2016,3
FCX US,7/26/2016,3
PM US,7/19/2016,3
CI US,7/29/2016,3
COP US,7/28/2016,3
FLS US,7/29/2016,3
SRE US,8/4/2016,3
VMC US,8/1/2016,3
IRM US,8/4/2016,3
PCG US,7/28/2016,3
DOV US,7/21/2016,3
AMT US,7/28/2016,3
WMB US,8/2/2016,3
RAI US,7/26/2016,3
UA US,7/26/2016,3
TRIP US,8/4/2016,3
BHI US,7/28/2016,3
GWW US,7/19/2016,3
FAST US,7/12/2016,3
